date,fund_nav,fund_return_pct,kbwy_price,kbwy_return_pct,vnq_price,vnq_return_pct,dividends_cumulative
2026-08-25,2004.85,0.17,18.4,-0.0,99.25,0.0,0.0
2026-08-26,1986.46,-0.75,18.24,-0.87,98.61,-0.64,0.0
2026-08-27,1964.33,-1.86,18.09,-1.68,97.65,-1.61,0.0
2026-08-28,1977.46,-1.2,18.07,-1.79,97.24,-2.03,0.0
2026-08-31,1944.4,-2.85,17.88,-2.83,96.44,-2.83,0.0
2026-09-01,1942.84,-2.93,17.81,-3.21,96.3,-2.97,0.0
2026-09-02,1951.19,-2.51,17.92,-2.6,95.78,-3.5,0.0
2026-09-03,1947.32,-2.7,17.87,-2.87,96.66,-2.61,0.0
2026-09-04,1946.88,-2.73,17.94,-2.5,96.02,-3.25,0.0
2026-09-08,1938.06,-3.17,17.72,-3.69,95.93,-3.35,0.0
2026-09-09,1956.38,-2.25,17.59,-4.4,94.94,-4.34,0.0
2026-09-10,1942.96,-2.92,17.45,-5.16,94.12,-5.17,0.0
2026-09-11,1938.5,-3.15,17.49,-4.95,94.8,-4.48,0.0
2026-09-14,1946.72,-2.73,17.51,-4.82,94.33,-4.96,0.0
